0,0,"<think>
问题分析：
题目涉及长期股权投资的初始计量和后续计量，关键点包括：初始投资成本（4,600万-已宣告股利145万=4,455万）、权益法下投资收益的确认（600×25%×6/12=75万）、现金股利的处理（400×25%=100万），以及期末账面价值的计算。

选项分析：
A. 错误。初始投资成本应为4,455万，非4,500万。
B. 正确。投资收益=600×25%×6/12=75万，题目误写为180万。
C. 错误。权益法下应确认投资收益，非其他综合收益。
D. 错误。期末账面价值=4,455+75-100=4,425万，非5,000万。
</think>
$\boxed{B}$"
0,1,"<think>
问题分析：
题目涉及长期股权投资的初始计量和后续计量，关键点包括：初始投资成本（4,600 - 已宣告股利135万元 = 4,465万元）与享有被投资单位可辨认净资产公允价值份额（18,000 × 25% = 4,500万元）的比较、权益法下投资收益的确认（600 × 25% × 6/12 = 75万元）和现金股利的处理（400 × 25% = 100万元）。

选项分析：
A. 正确。初始投资成本4,465万元＜享有份额4,500万元，按后者入账。
B. 错误。投资收益应为75万元（600×25%×6/12）。
C. 错误。题目未涉及其他综合收益。
D. 错误。12月31日账面价值=4,500+75-100=4,475万元。
</think>
$\boxed{A}$"
0,2,"<think>
问题分析：
题目涉及长期股权投资的初始计量和后续计量，关键点包括：初始投资成本（4,600万元-已宣告股利145万元=4,455万元）与享有被投资单位可辨认净资产公允价值份额（18,000×25%=4,500万元）的比较、权益法下投资收益的确认（600×25%×6/12=75万元）和现金股利的处理（400×25%=100万元）。

选项分析：
A. 正确。初始投资成本4,455万元<享有份额4,500万元，按后者入账。
B. 错误。投资收益应为75万元（600×25%×6/12）。
C. 错误。题目未涉及其他综合收益。
D. 错误。12月31日账面价值=4,500+75-100=4,475万元。
</think>
$\boxed{A}$"
0,3,"<think>
问题分析：
本题考察长期股权投资的初始计量和后续计量。关键点包括：初始投资成本（4,600万-已宣告股利135万=4,465万）、权益法下投资收益的确认（600×25%×6/12=75万）、现金股利的处理（400×25%=100万），以及期末时账面价值的计算。

选项分析：
A. 错误。初始投资成本应为4,465万，不是4,500万。
B. 正确。投资收益=600×25%×6/12=75万，题目中给出180万可能有误。
C. 错误。题目未涉及其他综合收益。
D. 错误。12月31日账面价值=4,465+75-100=4,440万，不是5,000万。
</think>
$\boxed{B}$"
0,4,"<think>
问题分析：
题目涉及长期股权投资的初始计量和后续计量，关键点包括：初始投资成本（4,600 - 24 - 8 = 4,500万元）、权益法下投资收益的确认（600 × 25% × 6/12 = 75万元）、现金股利的处理（400 × 25% = 100万元），以及期末账面价值的计算（4,500 + 75 - 100 = 4,475万元）。需明确各选项与会计准则的匹配性。

选项分析：
A. 正确。初始投资成本4,500万元（4,600 - 24 - 8），权益法下无收益或股利，账面价值保持4,500万元。
B. 错误。投资收益应为75万元（600 × 25% × 6/12），非180万元。
C. 错误。题目未涉及其他综合收益。
D. 错误。期末账面价值应为4,475万元，非5,000万元。
</think>
$\boxed{A}$"
1,0,"<think>
问题分析：
该题目涉及限制性股票股权激励的会计处理，主要考察授予日、等待期内的费用确认以及现金股利的处理。关键点包括：授予日不确认费用，等待期内按公允价值分摊管理费用，现金股利区分可解锁与不可解锁部分处理。

选项分析：
A. 错误。授予日需确认银行存款和股本，不能不做账务处理。
B. 正确。2018年确认管理费用=(100-10)×10万股×(10-8)×1/3=3,000万元，计入资本公积。
C. 正确。可解锁现金股利=(100-10)×10万股×1=900万元，作为应付股利。
D. 正确。不可解锁现金股利=10×10万股×1=100万元，冲减回购义务。
</think>
$\boxed{BCD}$"
1,1,"<think>
问题分析：
该题目涉及限制性股票股权激励的会计处理，主要考察授予日、等待期内的费用确认以及现金股利的处理。关键点包括：授予日不确认费用，等待期内按公允价值分摊管理费用，现金股利区分可解锁与不可解锁部分处理。

选项分析：
A. 错误。授予日需确认银行存款和股本，不能不做账务处理。
B. 正确。2018年确认管理费用=(100-10)×10万股×(10-8)×1/3=3,000万元，计入资本公积。
C. 正确。可解锁现金股利=(100-10)×10万股×1=900万元，作为应付股利。
D. 正确。不可解锁现金股利=10×10万股×1=100万元，冲减回购义务。
</think>
$\boxed{BCD}$"
1,2,"<think>
问题分析：
该题目涉及限制性股票股权激励的会计处理，主要考察授予日、等待期内的费用确认以及现金股利的处理。关键点包括：授予日不确认费用，等待期内按公允价值分摊管理费用，现金股利区分可解锁与不可解锁部分处理。

选项分析：
A. 错误。授予日需确认银行存款和股本，不能不做账务处理。
B. 正确。2018年确认管理费用=(100-10)×10万股×(10-8)×1/3=3,000万元，计入资本公积。
C. 正确。可解锁现金股利=(100-10)×10万股×1=900万元，作为应付股利。
D. 正确。不可解锁现金股利=10×10万股×1=100万元，冲减回购义务。
</think>
$\boxed{BCD}$"
1,3,"<think>
问题分析：
该题目涉及限制性股票股权激励的会计处理，主要考察授予日、等待期内的费用确认以及现金股利的处理。关键点包括：授予日不确认费用，等待期内按公允价值分摊管理费用，现金股利区分可解锁与不可解锁部分处理。

选项分析：
A. 错误。授予日需确认银行存款和股本，不能不做账务处理。
B. 正确。2018年确认管理费用=(100-10)×10万股×(10-8)×1/3=3,000万元，计入资本公积。
C. 正确。可解锁现金股利=(100-10)×10万股×1=900万元，作为应付股利。
D. 正确。不可解锁现金股利=10×10万股×1=100万元，冲减回购义务。
</think>
$\boxed{BCD}$"
1,4,"<think>
问题分析：
本题涉及限制性股票股权激励的会计处理，主要考察授予日、等待期内的费用确认以及现金股利的处理。关键点包括：授予日不确认费用，等待期内按公允价值分摊管理费用，现金股利区分可解锁与不可解锁部分处理。

选项分析：
A. 错误。授予日需确认银行存款和股本，不能不做账务处理。
B. 正确。2018年确认管理费用=(100-10)×10万股×(10-8)×1/3=3,000万元，计入资本公积。
C. 正确。可解锁现金股利=(100-10)×10万股×1=900万元，作为应付股利。
D. 正确。不可解锁现金股利=10×10万股×1=100万元，冲减回购义务。
</think>
$\boxed{BCD}$"
